词语	强度
石赤不夺	5
识明智审	5
识礼知书	5
食不充口	-5
食不累味	5
食生不化	-5
使心用腹	-5
使酒骂坐	-5
事半功百	5
饰非文过	-5
视人如子	5
视死若归	5
视若兒戏	-5
是非颠倒	-5
適以相成	5
適逢其会	5
守正不桡	5
授柄於人	-5
书通二酉	5
熟思审处	5
鼠穴寻羊	-5
鼠盗狗窃	-5
鼠齧蠹蚀	-5
束手束足	-5
束手就禽	-5
束教管闻	-5
树德务滋	5
双喜临门	5
爽然若失	-5
水秀山明	5
水底捞针	-5
顺水顺风	5
顺风使舵	-5
说是道非	-5
死乞白赖	-5
死眉瞪眼	-5
死声活气	-5
大熊猫	5
悼念	5
献旗	5
哓哓	-5
小觑	-3
上座	5
绅士	5
神枪手	5
神效	7
升官	3
生发	3
声望	5
胜仗	3
失密	-5
开怀儿	7
吭哧	-5
觥觥	4
交好	7
僬侥	-5
阶级异己分子	-7
劫掠	-7
结核杆菌	-5
解放战争	3
金本位制	-7
闹玄虚	-5
孽障	-9
永生	3
幽情	5
诱奸	-7
愚民政策	-5
长逝	7
畅饮	7
抄袭	-5
超员	-5
尘肺	-5
成就	5
惩罚	-5
吃大锅饭	-5
吃亏	-5
赤白痢	-5
笔走龙蛇	5
璧坐玑驰	5
辨物居方	5
冰洁渊清	5
秉笔直书	5
不入时宜	-5
不可告人	-5
不亦乐乎	5
不知所厝	-5
不知寝食	5
不凉不酸	-5
不问皁白	-5
不挠不折	5
不讳之朝	5
不识一丁	-5
才高气清	5
材茂行絜	5
财运亨通	5
参天贰地	5
拆东墙补西墙	-5
谄笑胁肩	-5
远至迩安	5
月异日新	3
岳镇渊渟	5
云涌风飞	3
运掉自如	5
赃汙狼藉	-5
赃贿狼藉	-5
造作矫揉	-5
泽吻磨牙	-5
贼头鬼脑	-5
沾沾自好	-3
斩钉切铁	5
战无不胜，攻无不取	7
招风惹雨	-5
朝梁暮晋	-5
贞松劲柏	5
铮铮铁汉	5
正正经经	5
之死靡二	5
执迷不醒	-5
指山说磨	-5
指东说西	-5
志在四海	5
孤苦仃俜	-7
孤雌寡鹤	-5
辜恩负义	-9
鼓吹喧阗	5
鼓腹击壤	5
固执成见	-5
故家乔木	-5
顾盼自豪	-5
刮目相待	7
挂肚牵肠	9
怪诞不经	-9
官官相为	-7
冠屦倒施	-5
贯朽粟腐	5
光前绝后	5
广见洽闻	5
龟冷支床	-5
规言矩步	3
佹形僪状	-5
鬼抓狼嚎	-9
鬼计多端	-7
鬼哭神惊	-9
鬼头滑脑	-5
贵不期骄	-3
桂玉之地	5
刿心鉥肾	-9
果刑信赏	5
过都历塊	5
海屋筹添	5
海怀霞想	7
骇状殊形	-5
酣嬉淋漓	5
含冰茹檗	5
含垢匿瑕	7
含冤负屈	7
函盖充周	5
韩卢逐块	-5
毫分缕析	5
好善恶恶	5
合衷共济	5
和风丽日	5
河目海口	5
河门海口	-5
河清云庆	5
鹤困鸡群	-5
鹤唳风声	-7
横拖倒拽	-5
横眉努目	-9
横槊赋诗	7
横无忌惮	-7
横徵暴敛	-7
闳意妙指	5
鸿泥雪爪	5
鸿章钜字	7
鸿渐於干	5
鸿断鱼沈	5
后拥前呼	7
呼天号地	-9
狐虎之威	-7
狐裘尨茸	-5
狐鸣篝火	-5
失约	-7
师母	5
施与	5
时尚	5
实验主义	-5
事大主义	-5
嗜血	-9
胡枝扯叶	-5
胡诌乱扯	-5
怙顽不悛	-7
怀材抱器	7
坏法乱纪	-7
慌手慌脚	-5
黄雀伺蝉	-5
黄龙痛饮	9
潢池盗弄	-5
灰容土貌	-7
恢诡谲怪	-5
回山倒海	9
回文织锦	9
讳恶不悛	-7
昏天黑地	-7
浑抡吞枣	-5
混淆黑白	-5
魂不赴体	-5
魂飞胆颤	-9
货赂公行	-7
祸起萧墙	-5
豁然开悟	5
饥不遑食	5
机心械肠	-5
鸡争鹅斗	-5
吉祥如意	5
极恶穷凶	-9
嫉贤傲士	-5
计穷途拙	-7
加膝坠泉	-5
家无担石	-5
戛戛独造	7
假眉三道	-5
坚忍不拔	7
骨董	-5
呱哒	-3
光大	6
鸡肋	-5
束手束脚	-5
并蒂芙蓉	5
鸾风和鸣	5
独占鳖头	5
入结家足	3
没落子	-3
闷雷	-5
丁忧	7
渎神	-9
谣言	-5
冷笑	-5
冷板凳	-5
破鞋	-5
启迪	5
芊绵	3
谦辞	5
前驱	5
攘夺	-7
惹是非	-5
人贩子	-7
任命	3
荣军	7
容情	3
入垄	-5
软伫	7
行尸走骨	-9
行侠好义	5
杏脸桃腮	5
熊韬豹略	5
轩鹤冠猴	-7
雪案萤窗	7
噀玉喷珠	7
俨乎其然	-5
言听行从	7
颜精柳骨	9
雁影分飞	-7
扬威耀武	7
杨花心性	-5
摇头摆脑	-5
逸兴云飞	9
肆虐	-7
颂词	5
风行电击	7
封己守残	-5
凤毛龙甲	7
凤皇来仪	5
凤鸣鹤唳	7
凤靡鸾吪	7
跗萼连晖	7
扶危定乱	9
俯仰无愧	7
俛首帖耳	-3
负才使气	-7
负重吞污	7
妇人之仁	-7
附赘县疣	-7
改行为善	5
干霄蔽日	7
乾乾翼翼	5
高自标誉	-7
高位重禄	7
高官尊爵	7
高情远意	9
高谈虚论	-7
膏脣贩舌	-7
革凡登圣	7
革面悛心	5
格古通今	7
隔屋撺椽	-5
各得其宜	5
梗顽不化	-7
公尔忘私	9
攻苦食啖	7
躬体力行	7
钩爪锯牙	-9
狗走狐淫	-9
狗逮老鼠	-7
狗党狐朋	-7
沽名要誉	-7
铁血政策	-3
通窍	5
土鳖	-5
土专家	-5
推委	-5
权变	3
劝勉	5
惹眼	7
人格	3
人物	7
荏弱	-5
如期	5
锐气	5
私货	-5
私刑	-5
随喜	5
刑于之化	5
行者让路	5
杏腮桃脸	5
雄深雅健	9
煦色韶光	5
雪胎梅骨	7
寻欢作乐	-7
咽苦吐甘	9
言简义丰	7
研精殚思	7
艳紫妖红	5
杨花水性	-9
摇头幌脑	-7
逸辈殊伦	9
乐观主义	7
老粗	-5
老油子	-7
畅通	5
唱高调	-5
超巨星	9
扯后腿	-7
称雄	5
惩办主义	-7
吃不消	-5
吃紧	-5
叱骂	-9
鄙夷不屑	-5
抃风儛润	5
标新创异	5
别具手眼	5
冰清玉润	5
兵无血刃	5
秉公无私	7
博物洽闻	5
不分皁白	-5
不见天日	-7
不知高下	-5
不知颠倒	-5
不阴不阳	-5
不欺暗室	5
不登大雅	-5
不遗巨细	5
不辨菽粟	-5
才疏意广	-3
材雄德茂	5
惨无天日	-9
差之毫釐，失之千里	-5
长材小试	-5
长恶不悛	-7
没奈何	-3
便便	-3
变相	-5
辩驳	-5
彪柄	5
表面化	-3
宾服	5
冰炭	-7
病虫害	-5
菠萝蜜	5
勃兴	7
不符	-5
不景气	-7
不图	5
不详	-5
对偶婚	7
封豨脩蛇	-7
凤毛鸡胆	-7
凤翥龙翔	7
凤舞龙蟠	7
奉公如法	7
佛眼相看	5
否极阳回	5
敷衍搪塞	-5
扶危济急	7
浮收勒折	-7
负地矜才	-7
负恩忘义	-9
附炎趋热	-5
附声吠影	-7
富贵不淫	7
腹饱万言	7
改柯易叶	5
乾巴利落	5
高下在口	-7
高材疾足	7
高风劲节	9
高遏行云	5
高头大马	7
槁形灰心	-5
革邪反正	5
革奸剷暴	9
隔靴爬痒	-5
根深蒂结	7
弓影杯蛇	-5
公明正大	5
功成名就	5
攻疾防患	5
拱揖指麾	5
狗口里生不出象牙	-9
狗苟蝇营	-9
狗盗鼠窃	-7
狗续金貂	-7
沽誉钓名	-7
享年	5
笑面虎	-5
少礼	3
舍身	5
神品	9
神悟	7
蜃景	-3
破获	7
谱写	5
齐截	5
歧出	-5
启蒙	3
起色	3
气候	3
契合	3
牵扯	-5
谦让	5
潜力	5
自视	-5
警句	3
漫无目标	-5
前程万里	9
得名	3
端详	3
卸任	-5
新人	7
行善	5
虚悬	-5
加塞儿	-7
尖锐	5
健步	5
齿白唇红	7
环肥蕉痪	7
明眸皓齿	7
稚齿婑婿	7
蜂目豺声	7
油头粉面	-5
轶群绝类	7
意气飞扬	5
淫言媟语	-5
引虎自卫	-3
引绳棋布	5
饮冰食蘖	5
隐居求志	5
鹰瞵虎攫	-5
营蝇斐锦	-5
应弦而倒	5
拥政爱民	5
雍容閒雅	5
油光水滑	-3
游骑无归	5
游响停云	7
有始有卒	7
有眼无瞳	-7
有声无实	-5
余声三日	9
余音缭绕	9
鱼目混珎	-7
鱼跃鸢飞	7
渔人得利	-5
瑜百瑕一	5
愚眉肉眼	-5
雨帘云栋	7
语妙绝伦	7
玉柱擎天	9
玉润冰清	9
郁郁沉沉	7
鸢肩羔膝	-5
渊涌风厉	5
沅芷澧兰	7
托福	-5
脱班	-5
枉费	-5
威权	5
违抗	-5
似漆如胶	9
驷马莫追	7
松茂竹苞	9
崧生岳降	9
送往事居	7
颂声载道	9
夙兴昧旦	9
随人作计	-5
随车夏雨	9
随俗浮沈	-7
随高就低	9
随声趋和	-7
遂心快意	9
碎心裂胆	-9
所向克捷	9
太山北斗	9
贪吃懒做	-9
贪惏无餍	-7
谈玄说妙	7
谈论风生	7
忐忑不定	-7
探赜索隐	5
堂皇富丽	7
韬光俟奋	7
桃李争妍	7
桃羞杏让	7
讨恶翦暴	7
腾声飞实	9
提心在口	9
体规画圆	-7
替古人耽忧	-7
擿埴索途	-7
天上麒麟	9
天老地荒	9
天昏地黑	-9
天崩地坍	-7
天粟马角	-9
天随人原	9
添油加醋	-7
恬不为意	7
条条框框	-7
铁板歌喉	7
铁画银钩	7
铁壁铜山	9
通文达礼	7
通幽动微	7
通忧共患	7
同力协契	7
同心共胆	7
同心僇力	7
同明相照	9
同德同心	7
同类相妒	-7
铜筋铁肋	9
头出头没	-7
头焦额烂	-7
投刃皆虚	7
投桃报李	9
酬谢	5
垂危	-7
摧陷廓清	7
存心积虑	-7
寸善片长	5
错彩镂金	7
打破沙锅璺到底	7
打铁趁热	5
大直若屈	7
大家风范	5
大路椎轮	5
大缪不然	-5
带金佩紫	5
戴玄履黄	5
戴霜履冰	5
单见浅闻	-5
殚诚毕虑	5
胆大泼天	5
胆裂魂飞	-9
诞谩不经	-5
党邪丑正	-5
刀头燕尾	5
倒持太阿	-5
蹈火探汤	5
道同志合	5
道高德重	5
道边苦李	-5
得未尝有	5
德隆望重	7
砥节砺行	5
点头会意	5
雕虫小艺	-5
钓名沽誉	-5
调词架讼	-5
跌脚槌胸	-5
顶门壮户	5
丢魂失魄	-7
东扯西拉	-5
东南之宝	5
东窗消息	-5
滑溜	5
锵金鸣玉	-5
强食弱肉	-5
墙高基下	-7
敲骨剥髓	-7
憔神悴力	5
切理会心	5
青出於蓝	7
青蝇染白	-5
轻车熟道	5
轻财好义	5
轻薄无知	-5
清风朗月	5
情凄意切	-5
曲意承迎	-5
去邪归正	7
确然不群	5
鹊巢鸠据	-6
惹草沾花	-4
人情冷暖	-5
仁人义士	5
任从风浪起，稳坐钓鱼船	5
日角龙庭	5
日暖风和	4
荣谐伉俪	5
柔远能迩	5
如之奈何	-5
如坐春风	5
如狼如虎	-5
如汤灌雪	5
如胶投漆	5
如原以偿	5
乳声乳气	-5
入孝出弟	5
入阁登坛	5
枘凿冰炭	-5
洒心更始	5
三日新妇	-5
三好二怯	-5
三贞五烈	5
三阳交泰	5
三头两日	-5
散灰扃户	-5
桑间之音	-5
搔着痒处	5
山包海容	5
山亏一篑	-5
伤心蒿目	-5
赏信罚必	5
上下同心	5
舍策追羊	5
射像止啼	5
身先朝露	-5
身做身当	5
身废名裂	-5
深文曲折	-5
深根固本	5
深恶痛嫉	-5
神不收舍	-5
神奸巨猾	-5
神采英拔	5
神逝魄夺	-5
神超形越	5
神魂飘荡	-5
神经错乱	-5
神头鬼脸	-5
失之交臂	-5
失张失智	-5
诗云子曰	5
刺目	-3
从容	7
醋劲儿	-7
错杂	-5
打群架	-7
大年初一	7
正骨	5
天涯若比邻	7
眉目勿画	5
误点	-5
牺牲	5
系缚	-3
狎妓	-3
罅隙	-1
现成话	-5
撒旦	-7
三光政策	-7
散亡	-3
丧事	-7
扫榻	5
歃血	5
闪耀	7
善邻	1
商榷	1
赏光	3
上宾	5
上峰	3
原来	5
增进	7
财礼	5
查抄	-5
各行其是	-5
一盘散沙	-5
蒙在鼓里	-3
牗中窥日	-5
人穷智短	-5
挈瓶之知	-5
浅见寡闻	-5
不成才	-5
撑肠拄腹	3
振臂一呼	5
东闪西躲	-5
亦步亦趋	-3
一定之规	3
沿波讨源	3
率尔操觚	-3
东一榔头，西一棒杨	-5
自由放任	-5
义正辞严	7
下车作威	-5
直情径行	-5
壮土解腕	5
右军习气	-5
眼不见，心不烦	-3
坐冷板凳	-5
漠不相关	-5
听之任之	-5
不以为意	-5
视如土芥	-5
大眼看小眼	-5
从善如登	5
先意承旨	-5
附骥攀鸿	-5
拒人于千里之外	-7
固执已见	-5
燎如观火	9
列功覆过	7
林下风致	9
鳞集仰流	9
灵心慧性	7
凛如霜雪	-5
另开生面	1
流天澈地	-1
流言飞文	-7
流离播越	5
柳折花残	-7
柳弱花娇	7
柳绿花红	5
六问三推	1
六韬三略	5
龙多乃旱	-3
龙胡之痛	-9
龙眉凤目	5
龙蛇飞舞	5
龙御上宾	-7
龙凤呈祥	7
龙潜凤采	-1
龙兴凤举	9
龙颜凤姿	5
龙腾凤集	7
陋巷箪瓢	-3
镂肝鉥肾	3
漏尽钟鸣	-5
鲁鱼亥豕	-1
鲁殿灵光	5
鹿走苏台	-7
路柳墙花	-5
露宿风餐	-5
鹭约鸥盟	1
鸾音鹤信	5
鸾鸣凤奏	7
乱七八遭	-7
论长道短	-3
论辩风生	3
驴脣不对马嘴	-7
吕武操莽	-7
履险若夷	9
马上功成	7
马捉老鼠	-3
买王得羊	-5
麦丘之祝	7
卖乖弄俏	-5
卖俏迎奸	-7
谩天昧地	-5
满坑满谷	-1
猫噬鹦鹉	-7
没世不忘	9
没精没彩	-7
门不夜关	7
门闾之望	7
猛虎添翼	7
迷而知返	5
迷离徜仿	-5
靡然成风	1
靡靡之乐	-3
花着	-5
还愿	3
灰不溜丢	-5
减师半德	-5
见事生风	-5
见财起意	-5
见精识精	5
剑气箫心	5
践规踏矩	-5
江郎才掩	-5
将无做有	-5
降心顺俗	-5
交詈聚唾	-5
骄侈淫虐	-5
教猱升木	-5
挢揉造作	-5
揭箧探囊	-5
诘屈聱牙	-5
洁清自矢	5
桀骜自恃	-5
截铁斩钉	5
解衣盘礴	5
借客报仇	5
金口木舌	5
金石之交	5
金昭玉粹	5
金淘沙拣	5
金尽裘敝	-5
金声玉润	5
谨身节用	5
锦绣心肠	5
锦囊妙计	5
进退亡据	-5
进退有度	3
进退惟谷	-5
进退无据	-5
进退双难	-5
进道若退	-5
进贤退奸	5
进贤黜恶	5
荆天棘地	-5
惊心吊胆	-5
惊心夺目	-5
惊神破胆	-9
惊魂动魄	-5
鲸吞虎噬	-5
井然有条	5
径行直遂	5
敬老慈少	5
静言令色	-5
迥不犹人	5
九烈三贞	5
酒地花天	-5
酒龙诗虎	5
救时厉俗	5
拘挛补衲	-5
鞠躬尽力，死而后已	5
忘义	-5
明修栈道，暗度陈仓	-5
胸中鳞甲	-9
巧言偏辞	-5
寻花问柳	-7
挂羊头，卖狗肉	-5
欺天诳地	-9
韬晦之计	-3
咬人狗儿不露齿	-9
装点门面	-9
失德	-9
轻世做物	-9
蛇欲吞象	-9
损人利已	-9
争多论少	-3
为德不卒	-9
心为形役	-5
斗霜傲雪	7
独占鼇头	5
读书君子	5
敦本务实	5
多言多语	-5
掇臀捧屁	-5
讹以滋讹	-5
恶直丑正	-5
二心两意	-5
伐罪吊人	5
反正还淳	5
饭蔬饮水	5
方头不劣	-5
放饭流歠	-9
飞声腾实	5
分花拂柳	7
分情破爱	-5
焚林竭泽	-5
奋不顾命	7
丰墙峭阯	-5
洪灾	-5
虎彪彪	5
嫡传	5
抵命	-9
地方民族主义	-7
种族歧视	-9
重要	7
主犯	-7
嘱托	7
注视	7
专著	7
转运	8
装璜	7
撞见	-7
追脏	7
准谱儿	8
强奸	-9
乔迁	5
俏皮话	-5
倾心	7
屈挠	-7
耍贫嘴	-5
爽快	5
劣株	-5
珑玲	5
出毛病	-5
摧枯折腐	7
村夫俗子	-5
寸步难移	-5
搓手顿足	-5
打死老虎	-7
打家截道	-5
大匠运斤	5
大放厥辞	5
大厦将颠	-7
大澈大悟	5
待贾而沽	5
戴清履浊	5
丹凤朝阳	5
担雪塞井	-5
胆大心粗	-5
胆壮气粗	5
胆战心摇	-7
弹丸脱手	5
党恶佑奸	-5
倒打一瓦	-5
倒峡泻河	5
道弟称兄	5
道傍苦李	-5
道殣相望	-5
德音莫违	-5
敌惠敌怨	5
砥砺廉隅	5
雕章绘句	5
雕虫篆刻	-5
调三惑四	-5
跌宕昭彰	5
跌弹斑鸠	-5
丢三忘四	-5
东支西吾	-5
东床娇客	5
桃色	-5
惕励	-7
天趣	5
恬适	9
橘化为枳	-7
据高临下	-5
踞炉炭上	-7
镌脾琢肾	1
决一死战	-3
抉目胥门	-7
嚼铁咀金	3
君圣臣贤	7
开心见肠	7
开眉展眼	7
咳珠唾玉	7
克爱克威	5
溘先朝露	-9
口不择言	-5
口角生风	7
口坠天花	-5
枯枝再春	7
枯脑焦心	-3
刳精鉥心	3
快刀斩乱丝	7
宽洪大量	9
匡乱反正	5
狂轰滥炸	-9
困心衡虑	-5
来日大难	-7
览闻辩见	7
烂额焦头	-7
狼奔鼠偷	-5
狼号鬼哭	-9
狼顾鸢视	-5
劳心焦思	-7
乐天任命	3
乐此不倦	9
乐极则悲	-5
乐道安命	5
乐尽悲来	-5
磊浪不羁	7
冷心冷面	1
楞头呆脑	-5
离合悲欢	-7
离蔬释蹻	7
李广未封	-7
历井扪天	9
沥血叩心	5
丽句清词	3
詈夷为跖	-5
连枝共冢	7
连昏达曙	-5
连篇累册	-3
连舆并席	5
怜新厌旧	-5
脸青鼻肿	-7
恋酒贪花	-5
两世为人	5
两道三科	-7
量己审分	3
修心养性	5
斤斤自守	-5
三思而行	1
不忮不求	5
修身洁行	5
修桥补路	7
宵衣旰食	5
争分夺秒	3
死不瞑目	7
信赏必罚	7
于心何忍	-5
情怨理遣	-5
菩萨低眉	5
一德一心	7
有福同享	5
五言长城	7
药笼中物	7
举无遗策	7
见机行事	5
搏大精深	9
不觉技痒	-5
身经百战	7
巧取豪夺	5
引绳批根	-5
瘦瘠	-5
耍笑	-5
无与比伦	7
舞文巧诋	-7
析交离亲	-5
息黥补劓	5
嘻皮涎脸	-7
洗手奉公	5
徙薪曲突	5
霞明玉映	7
鲜衣美食	-5
闲言冷语	-5
贤妻良母	7
涎脸餳眼	-5
显山露水	5
埳井之蛙	-3
香草美人	5
像心称意	7
鸮心鸝舌	-5
孝子慈孙	7
胁不沾席	7
心忙意急	5
心术不端	-7
心劳意冗	-7
心烦意冗	-7
心头鹿撞	-7
心惊胆落	-9
新愁旧恨	-9
空喊	-5
魁伟	9
苦境	7
亏蚀	5
困守	7
披肝沥血	5
片接寸附	-1
贫贱之交	3
剖肝泣血	3
七行俱下	3
七捞八攘	-3
祁奚之荐	3
崎嵚历落	5
骑鹤望扬州	-5
綦谿利跂	-5
杞人之忧	-5
气吞虹蜺	5
气义相投	5
弃甲负弩	-3
弃恶从善	5
砌红堆绿	5
千刀万剐	-7
千里之隄，溃于蚁穴	-7
千伶百俐	9
千金敝帚	7
潜休隐德	7
部分质变	-5
彩礼	7
揖让	7
艺术性	9
荫庇	3
应名儿	-5
遇合	5
元气	5
园丁	7
远见	7
岳母	7
陨获	-7
晕船	-5
灾星	-9
赞礼	7
糟踏	-9
增光	7
畅通无阻	7
以汤沃雪	7
虎尾春冰	-7
四郊多垒	-7
羊入虎群	-7
有凤来仪	7
腹心之疾	-7
堤之千里，溃于蚁穴	-7
似是而非	-7
一叶蔽目，不见泰山	-7
地平天成	7
事在人为	7
多藏厚亡	-7
花残月缺	-7
折戟沉沙	-7
桃花潭水	7
非意相干	-5
视同路人	-7
吃里爬外　	-7
酒食征逐　	-5
如鱼得水　	7
五鬼闹判　	-5
朝中有人好做官　	-7
蓬荜生辉　	7
熊罴入梦　	7
竹苞松茂　	7
旭日东升	5
天末凉风	-7
月黑风高	-7
千里迢迢	-7
青山绿水	7
炮火连天	-7
吉光片羽	9
调和鼎鼐	7
荆山之玉	7
寿山福海	9
仙山琼阁	-7
吉日良辰	7
泯灭	-5
名胜	7
名著	7
魔障	-5
拿架子	-5
爱素好古	5
安国富民	5
安心定志	5
安于一隅	5
岸然道貌	-5
昂首天外	-5
傲慢不逊	-5
傲头傲脑	-5
鳌里夺尊	5
拔山举鼎	5
拔了萝卜地皮宽	-5
霸道横行	-5
白眼相看	5
百堵皆作	5
百家争鸣	5
百岁千秋	5
败材伤锦	-5
拜赐之师	-5
半身不遂	-5
徬徨失措	-5
饱暖思淫欲	-5
抱诚守真	5
暴内陵外	-5
杯中蛇影	-5
背公向私	-5
背暗投明	5
备位充数	-5
逼良为娼	-5
志骄气盈	-7
治丝而棼	-5
智尽能索	-5
智勇兼全	5
彘肩斗酒	5
忠言逆耳	5
众醉独醒	5
重赏之下，必有死夫	-5
昼乾夕惕	7
朱弦三叹	7
侏儒观戏	-7
株连蔓引	-7
铢铢较量	5
逐末弃本	-7
逐臭之夫	-7
逐影随波	-7
主情造意	5
麈尾之诲	7
驻红却白	5
祝僇祝鲠	7
铸剑为犁	5
妆模作样	-5
追魂夺命	9
追欢买笑	-7
谆谆诰诫	5
捉生替死	-7
捉鸡骂狗	-5
浊泾清渭	5
孜孜不懈	5
孳孳汲汲	5
恣凶稔恶	-7
足不逾户	-5
足高气强	-5
钻冰取火	-5
晬面盎背	7
尊主泽民	5
左右图史	7
左铅右椠	7
坐不重席	7
坐吃山崩	-5
坐食山空	-5
坐树不言	7
做小伏低	7
露马脚	-1
落漠	-7
卖国贼	-9
芝兰	7
中奖	9
龙骧虎视	9
打哈哈	7
华冠丽服	7
口燥唇干	-7
体无完肤	-7
左思右想 	-7
感旧之哀	-7
停云落月	-7
浮想联翩	7
无能为力	-7
一步一鬼	-7
贫而乐道	7
先睹为快	-7
聊以自慰	-7
寝不安席	-7
得意忘言	7
出人意表	-7
反躬自省	-7
幕天席地	7
喑恶叱咤	-9
血泪盈襟	-9
悲不自胜	-9
丧明之痛	-9
保不住	5
报仇	-9
暴病	-7
暴乱	-7
背不住	-7
奔忙	-5
本草纲目	5
逼勒	-5
秕子	-3
毕命	-9
碧血	7
避难	-7
鞭挞	-7
胖墩儿	5
跑跑跳跳	-7
劈手	7
翩然	6
平正	5
烈烈轰轰	7
林下清风	9
麟角凤觜	9
陵弱暴寡	-7
另起炉灶	-1
令行禁止	7
流水高山	3
流星飞电	7
流落失所	-7
流离颠顿	-9
柳眉星眼	7
柳暗花遮	5
柳宠花迷	7
六根清净	9
龙生九种	-5
龙肝凤髓	7
龙姿凤采	7
龙飞凤舞	5
龙章凤彩	7
龙翔凤跃	7
龙盘凤逸	-7
龙战玄黄	3
龙蟠虎伏	5
龙腾虎掷	7
龙骧虎跱	7
镂冰炊砾	-7
镂骨铭肌	9
鲁戈回日	9
鲁阳回日	9
鹿车共挽	3
碌碌寡合	-1
露胆披肝	7
鸾吟凤唱	5
鸾跂鸿惊	5
鸾鹄在庭	5
乱语胡言	-7
论黄数黑	-5
洛阳纸贵	5
驴头不对马嘴	-7
履盈蹈满	9
掠影浮光	-5
马牛襟裾	-7
马到功成	7
骂天扯地	-5
买静求安	-3
麦穗两歧	7
卖官贩爵	-7
埋轮破柱	7
满脸春色	7
漫天叫价	-5
盲人扪烛	-5
毛遂堕井	-7
貌合行离	-1
没石饮羽	7
没计奈何	-5
没颠没倒	-5
门衰祚薄	-7
扪参历井	-7
迷天大谎	-9
迷途知反	5
靡有孑遗	-1
骨肉未寒	-5
骨腾肉飞	-5
鼓眼努睛	-5
鼓馁旗靡	-5
故步自画	-5
顾左右而言他	-5
顾景惭形	-5
刮野扫地	-5
乖脣蜜舌	-5
观眉说眼	-5
官报私仇	-9
灌夫骂坐	-5
光彩耀目	5
广譬曲谕	5
圭角岸然	7
珪璋特达	7
诡诞不经	-7
贵人多忘	-5
贵壮贱弱	-5
桂酒椒浆	7
刿鉥肝肾	-9
滚瓜流水	5
海涵地负	9
骇人闻听	-9
酣歌恆舞	-5
含牙戴角	-5
含明隐迹	5
含垢藏瑕	-7
含情脉脉	7
韩海苏潮	7
寒灰更然	5
好行小慧	-5
豪末不掇，将成斧柯	-5
浩如烟海	7
何所不至	-7
和颜说色	5
河清社鸣	5
河汉江淮	5
鹤骨龙筋	5
鹤势螂形	5
黑风孽海	-7
横行直走	-5
横眉立眼	-9
横眉瞪眼	-9
横灾飞祸	-7
横抢硬夺	-7
洪炉点雪	7
鸿都买第	-7
鸿业远图	7
鸿儒硕学	7
后来之秀	5
厚德载物	7
呼群结党	-5
狐狸尾巴	-7
狐鸣狗盗	-7
食物中毒	-5
市惠	-5
势治	-5
适中	5
收揽	-5
绝伦	3
骏足	9
楷模	7
袁安高卧	5
远瞩高瞻	3
岳岳磊磊	5
云心鹤眼	5
运斤如风	5
赃盈恶贯	-7
造极登峰	9
择地而蹈	5
斋心涤虑	5
詀言詀语	-3
战无不克	5
张眉努目	-5
招是搬非	-5
朝过夕改	5
折冲之臣	5
震聋发聩	5
正正气气	5
政清人和	5
执迷不反	-5
直言正谏	5
咫尺万里	5
伪政权	-7
委罪	-5
温居	5
文字狱	-5
无情	-7
投隙抵巇	-7
徒负虚名	-5
涂歌邑诵	7
土龙沐猴	-7
吐哺捉发	7
兔起凫举	7
抟空捕影	-7
推心致腹	7
推诚置腹	7
颓垣废井	-9
退藏於密	7
吞声忍气	-7
讬于空言	-5
脱颖囊锥	7
跅幪不羁	-7
瓦解冰销	-9
外方内员	-7
外宽内明	7
剜肉做疮	-7
玩故習常	-7
顽皮赖肉	-7
亡羊补牢	3
亡国灭种	-9
王孙公子	5
枉曲直凑	-9
枉费心计	-7
忘恩失义	-7
望表知里	7
望眼将穿	7
望尘僄声	-7
危言覈论	7
逶迤退食	7
为山止篑	-9
为恶不悛	-9
为虎作伥	-7
违天悖人	-9
违时绝俗	7
唯利是求	-7
帷灯箧剑	-7
惟利是命	-9
尾大不掉	-7
未足轻重	-5
未为不可	5
渭浊泾清	9
温香艳玉	7
文子文孙	9
文武之道	9
文风不动	7
文章宗匠	9
文丝不动	7
文觌武匿	7
问柳评花	-7
瓮中之鳖	7
握雨携云	9
握瑜怀瑾	7
乌踆兔走	-7
屋乌推爱	7
无天於上，无地於下	-7
无巧不成话	7
无休无了	-7
无衣之赋	7
无足重轻	-7
无其伦比	9
无所不作	-7
无所忌讳	7
无所错手足	-9
无背无侧	-5
无施不可	7
无家可奔	-7
无动於中	-7
无情少面	-7
无为自成	7
帖服	5
通达	9
通融	5
痛击	-5
头角	7
透亮	7
土蚕	-9
团圆	9
推卸	-5
面不改容	5
面是心非	-5
妙言要道	5
民脂民膏	9
名公巨人	6
名德重望	6
明火执杖	-7
鸣野食苹	5
谬以千里	-5
磨礲浸灌	6
目不交睫	-7
目空馀子	-7
目无尊长	-5
南郭先生	-6
内峻外和	5
能掐会算	5
泥而不滓	5
年高德卲	5
鸟惊鱼溃	-7
弄神弄鬼	-5
呕心镂骨	6
攀鳞附翼	-6
烹犬藏弓	-7
十死不问	-5
十室九匮	-5
十转九空	-5
识字知书	5
识涂老马	5
食不二味	5
食不兼味	5
食古如鲠	-5
豕窜狼逋	-5
使性谤气	-5
市井无赖	-5
势穷力蹙	-5
饰智矜愚	-5
视死若生	5
视如草芥	-5
视险若夷	5
释生取义	-5
適心娱目	5
適逢其时	5
手到拈来	5
守正不挠	5
